Centroide-Centroide;Paquetá;Freguesia (Ilha);Bancários;Galeão;Tauá;Portuguesa;Moneró;Vigário Geral;Cocotá;Jardim América;Jardim Carioca;Pavuna;Cordovil;Jardim Guanabara;Parada de Lucas;Parque Colúmbia;Praia da Bandeira;Penha Circular;Cacuia;Irajá;Anchieta;Acari;Pitangueiras;Costa Barros;Brás de Pina;Penha;Zumbi;Ribeira;Coelho Neto;Guadalupe;Parque Anchieta;Barros Filho;Vista Alegre;Ricardo de Albuquerque;Colégio;Honório Gurgel;Olaria;Vila da Penha;Maré;Vila Militar;Cidade Universitária;Rocha Miranda;Ramos;Realengo;Vila Kosmos;Marechal Hermes;Vicente de Carvalho;Paciência;Engenho da Rainha;Complexo do Alemão;Vaz Lobo;Padre Miguel;Bento Ribeiro;Turiaçú;Bonsucesso;Inhaúma;Tomás Coelho;Santíssimo;Madureira;Osvaldo Cruz;Santa Cruz;Magalhães Bastos;Senador Camará;Cavalcanti;Campo dos Afonsos;Higienópolis;Manguinhos;Engenheiro Leal;Pilares;Del Castilho;Piedade;Cascadura;Vila Valqueire;Maria da Graça;Quintino Bocaiúva;Jardim Sulacap;Campinho;Abolição;Senador Vasconcelos;Cosmos;Jacarezinho;Cachambi;Praça Seca;Benfica;Engenho de Dentro;São Cristóvão;Vasco da Gama;Inhoaíba;Todos os Santos;Jacaré;Encantado;Rocha;Méier;Gamboa;Santo Cristo;Centro;Sampaio;Riachuelo;Saúde;São Francisco Xavier;Engenho Novo;Mangueira;Tanque;Taquara;Água Santa;Lins de Vasconcelos;Freguesia (Jacarepaguá);Cidade Nova;Praça da Bandeira;Vila Isabel;Maracanã;Glória;Rio Comprido;Santa Teresa;Estácio;Tijuca;Catumbi;Grajaú;Pechincha;Andaraí;Catete;Flamengo;Laranjeiras;Guaratiba;Vargem Grande;Alto da Boa Vista;Cosme Velho;Curicica;Botafogo;Urca;Cidade de Deus;Sepetiba;Anil;Jacarepaguá;Camorim;Humaitá;Gardênia Azul;Jardim Botânico;Vargem Pequena;Copacabana;Leme;Lagoa;Itanhangá;Gávea;Barra da Tijuca;Leblon;c(-43.2031639, -22.9841183);São Conrado;Rocinha;Pedra de Guaratiba;Recreio dos Bandeirantes;Vidigal;Joá;Barra de Guaratiba;Grumari;Caju;Deodoro;Lapa;Campo Grande;Bangu;Gericinó;Jabour;Vila Kennedy;Ilha de Guaratiba
Vargem Pequena;58968;48826;46284;45410;45488;43373;45040;36777;46517;35270;44698;31675;36052;44170;34656;32978;46796;30283;46347;26056;28308;31956;46428;30083;29100;35761;46896;48024;29278;29482;28436;28350;27358;26511;26352;29576;33791;26736;34129;23469;36045;26051;33574;22728;26421;26694;25601;38995;32377;32091;23343;25577;24328;23345;32461;30390;30540;35615;23891;22602;31886;21549;29829;23904;26792;31302;33367;22537;28347;29298;28260;21437;21983;30722;22472;20447;19773;27529;34126;35256;32170;29222;18590;33265;25534;37372;36637;34072;27992;32671;26393;32073;28315;40444;39053;41862;30954;31709;40446;35268;30591;35263;16174;15879;22905;27898;18126;39548;39764;33587;34999;48421;41522;42474;40244;35081;41122;33368;16057;34282;44459;41563;40605;25325;5874;34768;39309;11010;38416;42623;13155;33051;18828;12209;8456;37495;16749;35709;0;37973;40054;37316;28215;32635;16642;33179;35563;29185;30384;24766;6843;32177;27359;19611;14426;39038;27066;42098;34870;29416;29712;28800;30982;18082
Copacabana;40550;30408;27866;26992;27070;24955;26622;28271;28099;29632;26280;33586;26006;25752;31206;32445;28378;24776;27929;27744;38623;30816;28010;34830;26348;23972;28478;29606;34659;34711;40557;33587;28611;38633;28219;31385;22002;26426;18068;38584;18079;29363;21761;38892;26500;32278;27590;65120;23416;21431;28663;41742;30404;30191;18632;21121;24054;53058;30737;29741;59722;40596;50404;25311;36677;19079;17568;27302;22888;21207;21619;28282;32754;18267;22901;38746;29113;24701;55609;65269;17379;18002;31597;15718;19710;13120;13888;64521;19066;16100;20576;14998;17860;13076;11072;10930;15445;15010;13079;13576;16982;14086;33726;35812;33448;18689;30512;9912;11689;14399;11937;8795;7859;9983;11108;15168;9782;17134;31147;15798;8032;7171;7125;53160;41984;20863;7001;31382;3236;5529;29118;60887;25926;32208;34006;3744;28206;7103;37433;0;2960;3416;19249;7187;23268;5941;3901;10527;10729;52602;34683;7839;13896;47447;42260;14727;35987;10366;59421;46859;47154;49375;48425;45918
Leme;40820;30678;28136;27261;27340;25225;26892;28019;28368;29379;26550;33333;25754;26022;30954;32193;28648;24523;28198;27491;38370;30564;28279;34578;26095;23719;28748;29876;34406;34459;40304;33334;28358;38380;27966;31132;21749;26173;18392;38332;18349;29110;21508;38640;26247;32025;27338;64868;23164;21178;28410;41489;30152;29938;18379;20868;23802;52805;30484;29488;62060;40344;50152;25058;36424;18826;17943;27049;22635;20955;25620;28029;32501;18865;26766;38494;28860;24449;55356;65016;17977;18599;31344;16094;25643;12669;14030;64268;19664;16697;25042;15596;18458;12219;10214;10072;16043;15608;12221;14174;17580;14684;33473;35559;33195;19287;30259;9054;10832;14997;12535;7937;10090;8533;10250;14517;8924;17731;30894;16396;7175;6314;6267;55499;44323;23103;7661;33721;4915;4672;33632;63225;34632;36485;36345;6265;30545;8951;39771;3096;0;5755;21588;9526;25607;8280;6240;12866;13068;54941;37022;10178;16235;49785;44599;14474;35734;9508;59168;46606;46902;49122;48172;48256
Lagoa;38528;28385;25843;24969;25047;22932;24599;26249;26076;27609;24258;31563;23984;23729;29183;30422;26356;22753;25906;25721;36600;28794;25987;32807;24325;21949;26456;27583;32636;32688;38534;31564;26588;36610;26196;29362;19979;24403;16045;36561;16056;27340;19738;36869;24477;30255;25567;63097;21394;19408;26640;39719;28381;28168;16609;19098;22032;51035;28714;27718;57919;38573;48381;23288;34654;17056;15545;25279;20865;19185;19596;26259;30731;16244;20878;36724;27090;22678;53586;63246;15356;15979;29574;13695;17688;11097;11865;62498;17043;14077;18553;12975;15837;12304;10238;11814;13422;12988;12307;11553;14960;12063;31703;33789;31425;16666;28489;8674;9360;12376;9914;10090;5836;7960;8204;13145;9283;15111;29124;13775;8135;7262;6274;51358;40182;20717;4978;29580;4115;8324;27316;59084;24124;34715;32204;3193;26404;4616;35630;3674;5755;0;17447;5385;21466;4884;3152;8724;8927;50800;32881;7091;12094;45644;40458;12704;33964;10435;57398;44836;45132;47352;46402;44115
Itanhangá;54206;44064;41522;40647;40726;38611;40278;31327;41754;33183;39936;28000;29615;39408;28998;28030;42034;28102;41584;23769;28302;27008;41665;27639;28143;26564;42134;43262;26837;27039;27613;25906;26764;25689;24066;24134;24594;24664;24933;25924;26848;23764;24377;25187;24738;22588;23314;50132;23180;22894;21056;28036;20222;21059;23265;21193;21344;38070;21605;20315;47003;24004;32288;22600;24760;22106;24170;20250;19150;20101;19064;19151;18811;21525;20397;18907;17487;18332;36084;50372;21425;20025;16303;21406;16338;19484;20845;49188;18795;21026;17196;20370;19118;27983;25917;27493;19587;20382;27986;18948;20188;20757;13887;15973;13708;18701;9727;24353;25039;17623;17598;25739;21515;23639;19294;14712;20373;19537;11151;16475;23784;22911;21952;40442;29265;9235;20657;14687;19764;23970;10553;48168;6895;13642;21287;18842;8293;17056;24714;19320;21401;18663;0;13982;10549;14527;16911;10532;11732;39883;21964;13525;5897;34728;29541;28383;24726;21525;44433;31871;32167;31259;33437;33199
Gávea;40899;30757;28214;27340;27418;25304;26970;28620;28447;29981;26629;33934;26355;26100;31555;32794;28727;25124;28277;28092;38972;31165;28358;35179;26696;24320;28827;29955;35007;35060;40906;33935;28960;38981;28568;31734;22350;26774;18417;38933;18428;29712;22110;39241;26848;32627;27939;65469;23765;21780;29011;42090;30753;30539;18980;21470;24403;53406;31085;30089;54633;40945;50753;25659;37025;19428;17916;27650;23236;21556;21967;28630;33102;18616;23250;33307;29461;25050;55958;65618;17728;18350;31946;16066;20059;13468;14236;64870;19415;16448;20924;15347;18209;14676;12610;14186;15793;15359;14678;13925;17331;14434;28287;30373;29273;19038;30861;11045;11732;14747;12286;12432;8208;10332;10575;15516;11654;17482;25550;16147;10477;9604;8645;48072;36895;15775;7350;26294;6457;10663;24029;55798;20837;27119;28917;5535;23118;3749;32344;6013;8094;5356;14161;0;18179;1220;3604;5438;5640;47513;29595;3784;8808;42358;37172;15076;36335;12806;59770;47207;47503;49723;48773;40829
Barra da Tijuca;50688;40545;38003;37129;37207;35092;36759;32243;38236;34099;36418;31306;30531;35889;29914;31337;38515;29018;38066;26897;28052;30315;38147;27390;29059;27480;38616;39743;26588;26789;27363;25656;27680;25439;27373;23884;25510;25579;25848;25904;27764;23515;25293;25163;25653;22338;23064;43916;24096;23810;20806;28012;19972;20809;24180;22109;22259;38050;21355;20065;36806;23984;32264;23516;24511;23021;25086;22470;20066;21017;19979;18901;18561;22441;21313;18658;17237;19248;36059;40176;23890;20941;16053;24984;17253;29091;28356;38992;19711;24390;18112;23792;20034;32163;30772;31636;22673;23428;32166;26987;22310;26982;13637;15723;14624;19617;12464;28495;29182;25306;26718;29882;25658;27782;28025;26800;29104;25087;10901;26001;27927;27054;26095;30245;19069;20258;24800;11644;23907;28113;9380;37972;10548;12469;13995;22985;8468;21199;14518;23463;25544;22806;13705;18125;0;18670;21054;14675;15874;29687;11768;17668;12849;24532;19345;30757;24477;30256;39791;31850;32146;31235;33416;23002
Leblon;41030;30887;28345;27471;27549;25434;27101;28750;28578;30111;26760;34065;26485;26231;31685;32924;28857;25255;28408;28223;39102;31295;28489;35309;26826;24451;28958;30085;35138;35190;41036;34066;29090;39112;28698;31864;22481;26905;18547;39063;18558;29842;22240;39371;26979;32757;28069;65599;23895;21910;29142;42221;30883;30670;19111;21600;24534;53537;31216;30220;54339;41075;50883;25790;37156;19558;18046;27781;23367;21686;22098;28761;33233;18746;23380;33013;29592;25180;56088;65748;17858;18481;32076;16197;20189;13599;14367;56525;19545;16579;21055;15477;18339;14806;12740;14316;15924;15489;14809;14055;17461;14565;27993;30079;28980;19168;30991;11176;11862;14878;12416;14113;8338;10462;10706;15647;11785;17613;25256;16277;10608;9734;8776;47778;36601;15481;7480;26000;6587;10848;23735;55504;20543;26825;28624;5666;22824;3880;32050;6480;8278;4826;13867;1804;17885;0;2378;5144;5346;47219;29301;2816;8514;42064;36878;15206;36466;12937;59900;47338;47634;49854;48904;40535
c(-43.2031639, -22.9841183);40744;30602;28060;27186;27264;25149;26816;28466;28293;29826;26474;33780;26200;25946;31400;32639;28572;24970;28123;27938;38817;31010;28204;35024;26542;24166;28672;29800;34853;34906;40751;33781;28805;38827;28413;31579;22196;26620;18262;38778;18273;29557;21955;39086;26694;32472;27784;65314;23610;21625;28857;41936;30598;30385;18826;21315;24249;53252;30931;29935;57190;40790;50598;25505;36871;19273;17762;27496;23082;21402;21813;28476;32948;18461;23095;38940;29307;24895;55803;65463;17573;18196;31791;15912;19904;13314;14082;64715;19260;16294;20770;15192;18054;14521;12455;14031;15639;15204;14524;13770;17176;14280;33920;36006;31830;18883;30706;10891;11577;14593;12131;11050;8053;10177;10421;15362;11500;17328;28107;15992;10287;9426;8491;50628;39452;18331;7195;28850;5969;7784;26586;58355;23394;29675;31474;5410;25674;5045;34901;3416;5215;2702;16717;4655;20736;3409;0;7995;8197;50070;32151;5307;11364;44915;39728;14921;36181;12620;59615;47053;47349;49569;48619;43386
São Conrado;43792;33650;31107;30233;30311;28197;29864;31513;31340;32874;29522;36827;29248;28994;34448;35687;31620;28018;31170;30985;41864;34058;31251;38072;29589;27214;31720;32848;37900;37953;43799;36828;31853;41874;31461;34627;25244;29667;21310;41826;21321;32605;25003;35269;29741;35520;30832;60218;26658;24672;31904;38119;33646;33432;21874;24363;27296;48156;33978;32982;50090;34090;42371;28552;34617;22321;20809;30543;26129;24449;24860;31523;28668;21509;26143;28764;27343;27943;46166;53460;20621;21243;26160;18960;22952;16361;17129;52276;22308;19341;23817;18240;21102;17569;15503;17079;18686;18252;17571;16818;20224;17327;23744;25830;24730;21931;22571;13938;14625;17640;15179;15325;11101;13225;13468;18409;14547;20375;21007;19040;13370;12497;11538;43529;32352;11232;10243;21751;9350;13556;19486;51255;16294;22576;24374;8428;18574;6642;27801;8906;10987;8249;9618;3568;13636;4113;6497;0;1330;42970;25052;6677;4265;37815;32629;17968;39228;15700;54519;41957;42253;41341;43523;36286
Rocinha;45467;35325;32782;31908;31986;29872;31539;33188;33016;34549;31197;38502;30923;30669;36123;37362;33295;29693;32846;32660;43540;35733;32926;39747;31264;28889;33395;34523;39576;39628;45474;38504;33528;43550;33136;36302;26919;31342;22985;36958;22996;34280;26678;36217;31416;37195;32507;61166;28333;26348;33580;39066;31026;35107;23549;26038;28971;49104;35653;34657;51038;35038;43318;30228;35565;23996;22484;32218;27804;26124;26536;33198;29615;23184;27818;29712;28291;29618;47113;54407;22296;22918;27107;20635;24627;18036;18804;53223;23983;21016;25492;19915;22777;19244;17178;18754;20361;19927;19246;18493;21899;19002;24691;26777;25678;23606;23518;15614;16300;19315;16854;17000;12776;14900;15143;20084;16222;22050;21955;20715;15045;14172;13213;44476;33300;12179;11918;22698;11025;15231;20434;52203;17242;23523;25322;10104;19522;8317;28749;10581;12662;9924;10565;4120;14584;5788;8172;1794;0;43918;25999;8352;5212;38763;33576;19644;40903;17375;55467;42904;43200;42289;44470;37234
Pedra de Guaratiba;77190;67048;64506;63631;63710;61595;63262;52619;64739;51112;62920;47517;51894;62392;50498;48820;65018;53347;64569;48512;44150;47798;64650;45925;52796;53983;65118;66246;45119;45324;44278;44192;49640;42353;48024;45418;52013;50912;52351;39311;54267;47499;51796;31848;51427;44860;50607;19195;50599;50313;43470;29707;44503;47701;50683;48612;48762;24091;48594;45121;12086;33965;27829;50018;40143;49524;51588;42665;46569;47519;46482;41565;42058;48944;47816;40964;39901;45751;20719;15456;50392;47444;38718;51487;43756;55594;54859;16599;46213;50892;44614;50294;46536;58666;57275;59145;49176;49931;58668;53490;48813;53485;36301;35954;41127;46119;38967;56005;56691;51808;53221;57391;53167;55291;55535;53303;56614;51590;37404;52503;55437;54563;53604;10453;22890;47768;52309;30949;51416;55623;33094;8477;37050;32200;28744;50495;34971;48709;24388;50973;53054;50316;41215;45635;31335;46179;48563;42184;43384;0;18415;45177;40359;16866;20701;57260;42908;57766;21463;30494;33597;25268;30252;10674
Recreio dos Bandeirantes;60254;50112;47569;46695;46773;44659;46325;39916;47802;38408;45984;34814;39191;45456;37795;36116;48082;38584;47632;29247;31447;35095;47713;33222;38626;37047;48182;49310;32416;32621;31574;31489;36937;29650;35322;32715;35077;35146;35415;26608;37330;29243;34859;25867;29613;29833;28792;32698;33663;33376;26534;28716;27467;26537;33747;31675;31826;31200;27083;28185;25588;24688;32968;33082;29931;32588;34652;25729;29633;30583;29546;24629;25122;32008;30879;24028;22965;28815;27829;28958;33456;30508;21781;34550;26820;38658;37923;27774;29277;33956;27678;33358;29600;41730;40339;42209;32239;32995;41732;36554;31876;36548;19365;19018;24191;29183;22031;39069;39755;34872;36285;40455;36231;38355;38598;36366;39677;34654;20468;35567;38501;37627;36668;19027;7844;30831;35373;14013;34480;38686;16158;26753;20114;15264;11808;33559;18035;31772;7451;34037;36118;33380;24279;28699;14399;29243;31627;25248;26448;18469;0;28241;23423;13313;8120;40323;30205;40830;28573;32555;32850;31939;34121;11784
Vidigal;43603;33461;30919;30045;30123;28008;29675;31324;31152;32685;29333;36639;29059;28805;34259;35498;31431;27829;30982;30797;41676;33869;31063;37883;29400;27025;31531;32659;37712;37764;43610;36640;31664;41686;31272;34438;25055;29478;21121;41637;21132;32416;24814;41945;29553;35331;30643;68173;26469;24484;31716;44795;33457;33244;21685;24174;27108;56111;33790;32794;54103;43649;53457;28364;39730;22132;20620;30354;25941;24260;24672;31335;35806;21320;25954;32777;32166;27754;58662;57472;20432;21054;30172;18771;22763;16173;16940;56288;22119;19152;23629;18051;20913;17380;15314;16890;18498;18063;17383;16629;20035;17139;27756;29842;28743;21742;26583;13750;14436;17452;14990;16099;10912;13036;13280;18221;14358;20186;25020;18851;13182;12308;11349;47541;36365;15244;10054;25763;9161;12833;23499;55268;20307;26588;28387;8240;22587;6454;31814;8466;10264;7224;13630;4449;17649;3192;4790;4087;5342;46983;29064;0;8278;41828;36641;17780;39040;15511;62474;49912;50208;52428;51478;40299
Joá;48538;38396;35853;34979;35057;32943;34610;36259;36086;37620;34268;41573;33994;33740;39194;40433;36366;32764;35916;33654;34809;38804;35997;34146;34335;31960;36466;37594;33344;33546;34120;32413;36599;32196;34129;30641;29990;32336;26056;32660;26067;30271;29749;31919;32410;29095;29821;56868;30853;29419;27563;34769;26728;27566;26620;28866;29016;44806;28112;26822;46740;30740;39021;30272;31267;27067;25555;29226;26823;27773;26736;25658;25318;26255;28070;25414;23994;26005;42816;50110;25367;27698;22810;23706;24010;21107;21875;48926;26467;24087;24868;22986;26790;22315;20249;21825;23432;22998;22317;21564;24970;22073;20394;22480;21381;26373;19221;18684;19371;22386;19925;20071;15847;17971;18214;17660;19293;25121;17658;23786;18116;17243;16284;40179;29003;12184;14989;18401;14096;18302;16136;47905;12308;19226;21025;13174;15225;11388;24451;13652;15733;12995;5631;8314;10286;8859;11243;4864;6064;39621;21702;7857;0;34465;29279;22715;31233;20446;51169;38607;38903;37992;40173;32936
Barra de Guaratiba;72460;62317;59775;58901;58979;56864;58531;52121;60008;50614;58190;47019;51397;57661;50001;48322;60287;50790;59838;41453;43653;47300;59919;45427;50831;49252;60388;61515;44622;44827;43780;43694;49143;41856;47527;44920;47282;47351;47620;38814;49536;41448;47065;38072;41818;42039;40998;32556;45868;45582;38740;36674;39672;38742;45952;43881;44031;31058;39288;40391;25446;36894;34796;45288;42137;44793;46858;37934;41838;42789;41751;36834;37327;44213;43085;36233;35170;41020;27687;28816;45662;42713;33987;46756;39025;50863;50128;27632;41483;46162;39884;45564;41806;53935;52544;54414;44445;45200;53938;48759;44082;48754;31571;31224;36396;41389;34236;51274;51960;47078;48490;52661;48436;50561;50804;48572;51883;46859;32673;47773;50706;49832;48874;18885;18160;43037;47578;26218;46686;50892;28363;26612;32320;27470;24013;45764;30240;43978;19657;46242;48323;45585;36484;40904;26604;41449;43833;37454;38653;18327;13684;40446;35628;0;5091;52529;42411;53035;28431;37461;40564;32235;37219;11399
Grumari;67341;57199;54656;53782;53861;51746;53413;47003;54890;45496;53071;41901;46278;52543;44882;43204;55169;45672;54720;36334;38534;42182;54800;40309;45713;44134;55269;56397;39504;39708;38662;38576;44024;36737;42409;39802;42164;42233;42502;33695;44418;36330;41946;32954;36700;36920;35880;36392;40750;40464;33621;35804;34554;33624;40834;38763;38913;34894;34170;35272;29282;31775;38632;40169;37019;39675;41739;32816;36720;37670;36633;31716;32209;39095;37967;31115;30052;35902;31522;32652;40543;37595;28868;41638;33907;45745;45010;31468;36364;41044;34765;40445;36688;48817;47426;49296;39327;40082;48819;43641;38964;43636;26452;26105;31278;36270;29118;46156;46842;41959;43372;47542;43318;45442;45686;43454;46765;41741;27555;42654;45588;44714;43756;22721;12846;37919;42460;21100;41567;45774;23245;30447;27201;22351;18895;40646;25122;38860;14229;41124;43205;40467;31366;35786;21486;36330;38714;32336;33535;22163;8560;35328;30510;5091;0;47410;37292;47917;32267;39642;39938;36071;41208;15234
Caju;30743;20600;18058;17184;17262;15148;16814;15522;18291;16883;16473;20836;13257;15944;18457;19696;18571;12027;18121;14994;25874;18067;18202;22081;13598;11223;18671;19798;21910;21962;27808;20838;15862;25884;15470;18636;9253;13676;5896;25835;7819;16614;9012;26143;13750;19529;14841;52371;10667;8682;15914;28992;17655;17441;5883;8372;11305;40309;17987;16991;57631;27847;37655;12562;23927;6330;5458;14552;10138;8458;13124;15532;20004;7634;14269;25997;16363;11952;42860;52520;6030;8754;18848;3608;13146;5470;3645;51772;11678;5623;12545;4521;8902;8449;7058;9867;6486;6052;8452;4618;9612;4612;20977;23063;20698;9731;17763;7553;7770;6190;6475;16426;9527;10480;8250;8884;9128;9786;18398;8451;12465;16602;11872;54996;39991;17800;13265;25001;13846;16779;21135;65331;22135;23988;30700;14613;22184;15553;34818;16511;16935;14153;21745;17059;26133;16942;17826;20399;20601;55655;37736;20076;23768;50500;45313;0;23237;10103;46672;34109;34405;36626;35675;48971
Deodoro;42842;32700;30158;29284;29362;27247;28914;13885;30391;12378;28572;8783;13160;28044;11764;10086;30670;14614;30221;9778;4443;9064;30302;7191;14063;15858;30770;31898;6386;6590;4570;5458;10907;2646;9291;6684;17438;12178;23576;2597;22626;8765;20270;7629;12693;6126;11873;29133;14571;19733;11965;10060;5356;8968;21322;16452;13190;17071;9860;6714;34394;4610;14418;14446;7340;18709;22661;12257;15015;17059;12832;10030;7524;18484;11064;12614;9176;12879;19622;29282;19932;16328;10240;21026;14818;26654;25919;28534;15477;20432;13915;19558;16787;29726;28335;31143;21259;22014;29728;26302;18076;26296;11335;13662;18481;17375;15809;28829;29046;23550;28159;37703;30803;31756;29526;25045;30404;25556;13740;24245;33741;37878;33148;31758;30098;34273;34542;16122;35122;38056;17102;42094;18313;14917;20082;35889;19534;36830;24924;37787;38212;35429;25489;38335;23671;38218;39102;41675;41877;39656;27726;41352;34737;40489;35303;28319;0;31380;23434;10872;11168;13388;12438;38960
Lapa;34435;24293;21750;20876;20954;18840;20506;21634;21984;22994;20165;26948;19369;19637;24568;25808;22263;18138;21814;21106;31985;24179;21894;28192;19710;17334;22363;23491;28021;28074;33920;26949;21973;31995;21581;24747;15364;19788;12008;31946;11964;22726;15123;32255;19862;25640;20952;58482;16779;14793;22025;35104;23766;23553;11994;14483;17417;46420;24099;23103;63743;33959;43766;18673;30039;12442;11558;20664;16250;14570;15261;21644;26116;11909;16543;32109;22475;18064;48972;58631;11021;11644;24959;9709;13352;5713;7074;57883;12708;9742;14218;8640;11502;5073;3640;1280;9087;8652;3886;7218;10624;7728;27088;29174;26810;12331;23874;2456;3876;8041;5579;5473;5425;4976;3651;7918;2982;10776;24509;9440;2322;4021;3844;61107;46103;16504;5238;31113;6220;8738;27247;71443;28247;30100;36812;7570;28295;12539;40929;8974;8894;11139;20450;14045;32244;13927;12824;17385;17587;61767;43848;16762;20754;56611;51425;8089;29349;0;52783;40221;40517;42737;41787;55082
Campo Grande;62013;51870;49328;48454;48532;46418;48084;33055;49561;31548;47743;27953;32330;47214;30934;29256;49840;33784;49391;28948;24586;28234;49472;26361;33233;35028;49941;51068;25556;25761;24714;24628;30077;22790;28461;25854;36609;31349;42747;19747;41796;27935;39440;18571;31863;25296;31043;12126;33742;38903;31136;13642;24939;28138;40493;35622;32360;4956;29030;26298;13545;20019;11764;33616;26923;37879;41831;31427;34185;36229;33732;29613;25117;37654;30647;25878;28760;33778;6474;8916;39102;37228;28315;40197;35718;45824;45089;8168;36377;39602;34815;40458;37686;48896;47505;50313;40429;41184;48898;45472;38976;45466;29483;27575;35889;38274;33217;48000;48216;42721;47329;56873;49973;50926;48696;44215;49574;44726;31148;43415;52911;57048;52318;11392;34906;53443;53712;30034;54292;57226;31014;21470;35722;28830;33994;55059;33446;56000;38836;56957;57382;54600;42898;57505;37584;57388;58272;50475;51675;21609;30431;60522;48650;28882;32717;47489;23344;50550;0;10930;14033;9203;10688;20861
Bangu;51582;41440;38897;38023;38101;35987;37653;22624;39130;21117;37312;17523;21900;36783;20504;18825;39410;23353;38960;18517;14156;17803;39041;15930;22802;24598;39510;40638;15125;15330;14283;14197;19646;12359;18030;15424;26178;20918;32316;9317;31365;17504;29010;8140;21432;14866;20612;19025;23311;28472;20705;6802;14508;17707;30062;25191;21929;6963;18599;15867;24285;9588;7547;23185;16493;27448;31400;20996;23754;25798;23301;19182;14686;27223;20217;15447;18329;23347;9514;19174;28672;26797;17884;29766;25287;35393;34658;18426;25946;29172;24384;30027;27256;38465;37074;39882;29999;30754;38468;35041;28545;35036;19052;17144;25458;27844;22787;37569;37785;32290;36898;46442;39543;40495;38265;33784;39143;34296;20718;32985;42480;46617;41887;21650;33580;43013;43281;19603;43861;46795;20583;31985;25291;18399;23564;44629;23015;45569;28406;46526;46951;44169;32467;47074;27153;46957;47842;40045;41244;29548;31208;50092;38219;36820;38785;37059;12914;40119;13326;0;3596;6517;530;28799
Gericinó;52326;42184;39641;38767;38845;36731;38397;23368;39874;21861;38056;18266;22644;37527;21248;19569;40154;24097;39704;19261;14900;18547;39785;16674;23546;25342;40254;41382;15869;16074;15027;14941;20390;13103;18774;16167;26922;21662;33060;10061;32109;18248;29753;8884;22176;15609;21356;21478;24055;29216;21449;8053;15252;18451;30806;25935;22673;9416;19343;16611;26739;10332;9183;23929;17236;28192;32144;21740;24498;26542;24045;19926;15430;27967;20960;16191;19073;24091;11968;21627;29415;27541;18628;30510;26031;36137;35402;20879;26690;29916;25128;30771;28000;39209;37818;40626;30742;31498;39211;35785;29289;35780;19796;17888;26202;28587;23531;38313;38529;33034;37642;47186;40286;41239;39009;34528;39887;35040;21461;33729;43224;47361;42631;24103;34324;43757;44025;20347;44605;47539;21327;34439;26035;19143;24307;45372;23759;46313;29150;47270;47695;44913;33211;47818;27897;47701;48586;40789;41988;32001;31952;50836;38963;39274;39529;37802;13658;40863;15779;3209;0;8154;4782;31253
Jabour;54273;44131;41588;40714;40792;38678;40345;25316;41822;23808;40003;20214;24591;39475;23195;21516;42101;26044;41652;21209;16847;20495;41732;18622;25493;27289;42201;43329;17816;18021;16974;16889;22337;15050;20721;18115;28869;23609;29979;10949;31894;20196;31701;6935;24124;17557;23304;19973;26002;27940;20538;4794;16414;20398;28310;27882;24620;4985;21291;17132;19536;9052;2916;21099;15230;27151;29216;19732;23159;25147;21434;18632;14069;26571;19666;14830;17778;21481;5089;14907;28020;24930;17267;29114;23421;31448;32486;12465;24079;27544;22517;28160;25389;36293;34902;37711;27042;27797;36296;30596;26678;30590;18435;16949;24212;25977;21540;35397;35614;29674;31087;44270;37371;38324;36094;31168;36972;30442;19471;30369;40309;44446;39716;16349;33384;40397;41109;19408;41690;44623;20388;32933;24044;18203;23368;42457;22820;43397;28210;44355;44779;41997;31220;44903;26958;44785;45670;39849;41049;25123;31012;42842;38024;32395;36231;34887;14094;37947;9953;6494;9597;0;6252;24374
Vila Kennedy;51903;41761;39219;38345;38423;36308;37975;22946;39452;21439;37633;17844;22221;37105;20825;19147;39731;23674;39282;18839;14477;18125;39363;16252;23124;24919;39831;40959;15446;15651;14605;14519;19968;12680;18352;15745;26499;21239;32637;9638;31686;17826;29331;8462;21754;15187;20934;18501;23632;28794;21026;7645;14830;18028;30383;25513;22251;6438;18921;16188;23761;9910;7844;23507;16814;27770;31722;21318;24076;26120;23622;19504;15008;27544;20538;15769;18650;23669;8990;18650;28993;27118;18206;30087;25609;35714;34980;17902;26267;29493;24705;30348;27577;38786;37396;40204;30320;31075;38789;35362;28866;35357;19374;17466;25780;28165;23108;37890;38107;32611;37220;46764;39864;40817;38587;34106;39465;34617;21039;33306;42802;46939;42209;21125;33901;43334;43602;19925;44183;47116;20905;31461;25612;18720;23885;44950;23337;45890;28727;46848;47272;44490;32789;47396;27474;47279;48163;40366;41566;29023;31529;50413;38540;36296;39106;37380;13235;40440;12802;511;3894;6365;0;28275
